Timestamp,email,task,"exp","good","bad",suggestion,contact
8/3/2020 15:11:02,638965bbb0d66a5b0eae27d1324bbf89,I think the tasks had an appropriate mixture of difficulties to test impact of the plug-in. ,4,"The plugin excels in letting you look up little syntax bits that you have forgotten, but where you have a good background understanding of the underlying principles/modules/frameworks.",It would be really useful if the documentation - that is displayed in the IDE when you hover over a function name - could also be seen in the same way in the plugin. Otherwise it can be difficult to decide which of the suggestions is the correct one when you are not familiar with a module. ,"It would be nice if the plug-in could check and if necessary add imports that are required for the generated code. I noticed that I can't submit plug-in code in a line that already contains some other text. To me it felt impractical to phrase the assignment of a function to a variable as an English sentence. I would much prefer to be able to write ""var = "" in the IDE and then ask the plug-in for some function.",Yes
8/4/2020 6:44:18,3290155d5f39c2cece41ce216eecac62,"It was great, helped me a lot and it was a nice opportunity to practice problem solving.",5,It is a faster way to search for small problems in syntax and to find the correct syntax for the new problems,I think the searching skills were the most important part of all,I think displaying some answers from stackoverflow would be helpful not just pieces of code,Yes
8/6/2020 13:34:33,eb54774fe018001b25b8c31133f13bc9,"I thought the tasks were interesting and fun and offered variety, which helped me learn new things.  ",3,It's easier to generate big chunks of code for let's say iterating over a text file for example than having to look it up then copy it or writing it yourself,Sometimes the results that show up are not really related to the search query                 ,"I found a bug when using the tool.
When you generate code in a line that is not empty, the string of text written in that line will be duplicated several times (the length of the generated code block to be exact)",Yes
8/6/2020 13:35:26,baff2a3b41189071a80cebf6fdc239e3,it was useful for me as i learned about some more staff in python,3,the tasks where easy to handle ,results of the pluggin sometime is not related to the search  ,,Yes
8/6/2020 17:20:55,42387deceb25d7486993e2a2d58e14ea,"They seemed to be chosen in a manner such that a person who is not in constant practice of a library would have to search for the API docs online or ask the plugin a question. The tasks were mostly straightforward, and fulfilling because they helped reinforce some basic python skills.",3,"The plugin did not help a lot, because I feel that I am better at finding answers on the internet. Otherwise, the plugin was actually quite useful to me towards the end when I got the hang of it and could formulate questions in the correct way to it (which I feel, qualifies is somewhat of a skill in itself - for this version of the plugin).","Debugging support, interactive response the way PyCharm provides for imported libraries. Making the plugin more interactive and more seamless would take it a long way.","Perhaps a TODO list filled by a user in the header, which auto-checks off as and when a task in the TODO list is completed could make for a more organized approach while developing.",Yes
8/6/2020 21:32:30,eb8c0b297db7d9e210c3b804373339a2,"I think that the task were quite challenging but they correct evaluate the capacity of the candidate, as well as the impact of using the plugin functionality.",3,I think I could done better if I have prepared myself before.,"For more complex problem, I think that the plugin does not help at all, because the programmer need to know the theoretical background.","I think it separate into topics, instead presenting all helps together.",Yes
8/7/2020 10:41:09,fd9d2d83c74acfbdeb44b35e7e0d1b1f,"Address several coding/programming skills, vary in degree of hardness, I enjoyed hem",3,"loop initializations, import statements, if conditions",identifying variable names/values through the context of english statement,"try to involve NLP to identify/classify words of the english statement, it may be a library name, a variable name inside the code, or an exact value ",Yes
8/9/2020 11:08:29,0bd31633162f7a836160dd5b6359d29b,The assignments were good to test the plugin as some of the tasks were brand new to me.,3,Getting the code to be written for men without the need to search multiple pages over the internet.,"To be honest one tends to search over the internet as a habit, so I think the plugin is good but it doesn't catch to you easily it needs to be powerful in order to make the user love it more then the internet.
I think a well commented example would help and i know it is not easy, that's my only suggestion.",N/A,Yes
8/12/2020 7:46:23,79c72fefe0d6c99e61fd23d297db9f10@andrew.cmu.edu,Good and challenging tasks,4,Auto suggestions with function definitions were helpful,"Syntax auto completion was missing at a few places (brackets, commas etc.)",,Yes
8/12/2020 10:45:15,e88d1e36c4db7410802b3fda6db81d38,Tasks were on basic Python knowledge,3,"Sometimes plugin helped to remind syntax of commands that I could not recall, so it was helpful to look at the code snippets provided",Probably more comprehensive description of snippets,Maybe it would make sense to add most relevant links where these snippets where derived from and some description,No
8/12/2020 10:45:54,e78bbc00ea23e3688e035426717b63ac,"I think they were tougher than I anticipated, so I apologise if I took a while to complete some of them!",4,"I like that the plugin stops me having to go and search online for solutions, particularly when all I need is one quick line of code or to remember the command for something. Whilst working on the virtual machine I didn't want to procrastinate on the internet with facebook, youtube etc. However when I am doing tasks on my own computer it can be very easy to get distracted when searching for solutions online, so I feel like the plugin is something which would help improve my overall efficiency.","I think sometimes the plugin can be intimidating, I feel like it is hard to get a complicated solution using it without more context. Perhaps sometimes when providing solutions from stackoverflow, it could also provide a link to the solutions page? This may help the user with finding a more tailored solution for their program.","In regards to my previous comment, something which could also help find a more tailored solution would be if there could be some kind of chatbot functionality? What I mean by this is perhaps if you could identify the rough area in which the user needs assistance, a chatbot could help narrow it down further, helping to pinpoint an exact solution. Hopefully the way I have explained that makes sense, please feel free to contact me if you would like further clarity on this suggestion.",Yes
8/17/2020 9:48:39,088b7132e94876741b7b7040fdbecbf2@gmail.com,comfortable to work with this tasks  ,5,"i think ,plugin is more comfortable ","ummm, i find it very easier , i donot have any notice ",No,Yes
8/17/2020 10:06:52,c4196119198c1bd6dce9ad020501698d,Simple tasks in different topics but needs searching ,5,Python is an easy language due to the huge number of supported libraries that's why it also needs a lot of searching in the behavior and syntax and this was the benefit of the plugin,Providing animations in describing the tasks like GIFs,Till that point it is perfect to me,Yes
8/18/2020 7:36:11,683b2c2610686fd34440a75e770114ed@illinois.edu,Good practice for Python review; covering many details,4,Saved my time to search things on the web,Better have some quick ways to show a data snippet,N/A,Yes
8/18/2020 8:10:34,7ff9938c47bd8fb571d43b13872e6182,"the tasks were different and interesting, i have gained new skills from them",3,"get solutions in a fast way
easy search for solutions","increase the number of suggestions
get suggestion from different sources
but in general it worked well with me and i am sure it will be very helpful with some improvements ",,Yes
8/18/2020 15:48:55,197550e497841d3b70dc5b165b971809@gmail.com,They were easy and the last 2 were advanced .,4,It was so helpful.,I have no idea ,The server was slow.,Yes
8/18/2020 20:25:19,2287fbb738654ee8436be1a74b1efab7,they were great and full of challenges and i enjoyed them,4,the suggestions given by the plugin that helped narrow down the searching ,"maybe more accurate suggestions based on the text given to it, other than that its great",,Yes
8/20/2020 3:47:31,9a6cfe2c7ca82dcb62772e83ed7327db,they were compound and detailed ,4,it reduced the time ,The interface of web pages is more detailed ,"train it to solve simple problem
it will be amazing to have a button to see the documentation and example for the result ",Yes
8/21/2020 8:55:36,4a76842f7d04ecfd0e6306f8edf479fe@hotmail.com,I think that most of the task was easy and 1 or 2 task between the easy and intermediate ,5,Description of the tasks was very good ,Nothing ,No,No
9/17/2020 21:39:36,15764ad439feafda6f35578b7f6253df,Some of the practice is a little bit hard. Overall is fine.,3,It can provide some help on the unfamiliar function.,More example can be added.,"It can help with unfamiliar but known functions/API, but without giving an example, some function are not clear how to use.",No
9/18/2020 13:35:39,42387deceb25d7486993e2a2d58e14ea,Well designed,3,Sometimes it can provide good inference about the code.,Should add some explanation in the hints.,,Yes
9/22/2020 3:03:05,0e4f69ae91114adaaf29c8ce2c981057,A very good practice,4,"When the plugin was activated, it saved the time of switching to the browser to search. Also, I really liked making queries all the time! :D","- The plugin's data analysis comprehension. It didn't help much with the data analysis task (using pandas).

- The plugin's accuracy to distinguish between file types (such as opening a regular file, and opening a csv file). Perhaps, it could use the extension of the file to determine its type and offer suggestion. However, it correctly offered a suggestion when mentioning the file type explicitly.
","Suggestion: Maybe the plugin could show something like a confidence score beside each result, to help save a little bit of time, or sort the results with most relevant in top (that was the case in some queries, but not in others)                                                                    ",Yes
9/23/2020 22:07:56,27570bb3cfcc304aeede0cdf6c2e2762,it was very interesting but some tasks the Description wasn't clear enough,5,it's much easier and give me want i want to search for and also it's easy to use,"maybe when i ask the question and it show another window
you can add feature when i select answeer it give me another window has 
description for what i select i know you put the answeer in comment but i think that 
can added too",,Yes
9/29/2020 12:47:11,203a872af9b348b6ae1c59fbacd59e72,Some of them were a bit difficult and some of them were easy,3,"Somethings came handy such as file opening, writing, bs4 parsing, iterating, dictionary creation.",I think the plugin requires more training. The suggested answers to the queries were close but not exact and accurate and required edits.,It can be trained with more data to provide more accurate answers to the queries.,Yes
10/1/2020 18:09:50,32a93c18dfe238311ad0b9add6a071d6,"some of them were difficult, however they were all doable. they were interesting and pushed the limits of my skill.",2,getting the general idea of how to use something or get something done.,"its a difficult replacement for actually coding, and some of the suggestions need better analysis of the question before offering solutions, sometimes took several asks until i got what i needed. ",better at processing the ask and maybe extrapolating what variables might be used in the situation: if i just created an array then have an ask to do something for an array make the assumption it is the array i just created.,Yes
10/3/2020 8:13:57,0a13493c5f0f9f75a9fa6a576a14984b,"it has good ideas , i loved the problem solving and i really learned a lot solving them",4,the plugin is really good and helpful compared with the ones i used before but it needs more work ,sometimes i don't find what i'm searching for ,"just keep working on it , i really liked it and i think i may use it in the future if you 're going to release it  ",Yes
